25 20
5 11 4
5 12 8
5 13 10
12 11 5
12 12 8
12 13 11
7 8 6
12 3 8
16 5 12
12 8 2
16 13 0
5 6 1
6 6 1
7 6 1
8 6 1
9 6 1
10 6 1
11 6 1
12 6 1
13 6 1
14 6 1
15 6 1
16 6 1
17 6 1
18 6 1
5 7 1
5 8 1
5 9 1
5 10 1
6 10 1
7 10 1
8 10 1
9 10 1
10 10 1
10 11 1
10 12 1
10 13 1
10 14 1
10 15 1
10 16 1
10 17 1
11 17 1
12 17 1
13 17 1
14 17 1
15 17 1
16 17 1
17 17 1
18 17 1
18 16 1
18 15 1
18 14 1
18 13 1
18 12 1
18 11 1
18 10 1
18 9 1
18 8 1
18 7 1
11 10 1
12 10 1
13 10 1
14 10 1
15 10 1
16 10 1
17 10 1
10 2 1
11 2 1
12 2 1
13 2 1
14 2 1
15 2 1
16 2 1
17 2 1
18 2 1
10 3 1
10 4 1
10 5 1
18 3 1
18 4 1
18 5 1
